Trial	Time	Perf loss	Spike loss	Mean activity	Test Accuracy
   5120	6.33	0.0985	0.0053	1.9552	0.4516
  10240	13.65	0.0446	0.0028	1.6476	0.8396
  15360	20.86	0.0159	0.0016	1.2455	0.9803
  20480	27.97	0.0097	0.0012	1.0705	0.9939
  25600	35.36	0.0052	0.0010	0.9663	0.9995
  30720	42.89	0.0035	0.0008	0.8996	0.9998
  35840	50.24	0.0030	0.0007	0.8566	0.9998
  40960	57.55	0.0025	0.0006	0.8165	0.9999
  46080	64.90	0.0021	0.0006	0.7776	1.0000
  51200	72.59	0.0020	0.0005	0.7595	0.9999
  56320	80.10	0.0017	0.0005	0.7303	1.0000
  61440	87.37	0.0016	0.0005	0.7174	1.0000
