Trial	Time	Perf loss	Spike loss	Mean activity	Test Accuracy
   5120	6.77	0.0842	0.0070	4.1426	0.5044
  10240	14.40	0.0682	0.0057	3.7182	0.5370
  15360	21.77	0.0658	0.0052	3.5259	0.5879
  20480	29.20	0.0650	0.0048	3.3768	0.5991
  25600	36.66	0.0674	0.0044	3.2259	0.5663
  30720	44.13	0.0647	0.0041	3.1047	0.6067
  35840	51.61	0.0664	0.0037	2.9716	0.5848
  40960	59.01	0.0624	0.0035	2.8556	0.6280
  46080	66.50	0.0654	0.0032	2.7283	0.5945
  51200	73.98	0.0642	0.0029	2.6190	0.6189
  56320	81.45	0.0643	0.0027	2.5391	0.5914
  61440	88.88	0.0630	0.0025	2.4385	0.6136
  66560	96.35	0.0624	0.0023	2.3661	0.6315
  71680	103.85	0.0655	0.0021	2.2537	0.5900
  76800	111.36	0.0651	0.0019	2.1932	0.6020
  81920	118.95	0.0649	0.0018	2.1117	0.5908
  87040	126.61	0.0636	0.0016	2.0146	0.5978
  92160	134.21	0.0637	0.0015	1.9681	0.5895
  97280	141.87	0.0635	0.0014	1.8835	0.5989
 102400	149.45	0.0639	0.0013	1.8146	0.6216
 107520	157.15	0.0609	0.0012	1.7583	0.6469
 112640	164.93	0.0571	0.0012	1.7200	0.7336
 117760	172.70	0.0550	0.0012	1.6494	0.7914
 122880	180.55	0.0505	0.0012	1.6068	0.8747
 128000	189.05	0.0241	0.0013	1.7040	0.9170
 133120	196.98	0.0111	0.0014	1.6992	0.9623
 138240	205.07	0.0084	0.0014	1.6801	0.9726
 143360	213.00	0.0066	0.0014	1.6700	0.9829
 148480	221.29	0.0057	0.0014	1.6935	0.9860
 153600	229.19	0.0049	0.0014	1.6654	0.9882
 158720	237.10	0.0047	0.0013	1.6057	0.9888
 163840	245.06	0.0046	0.0013	1.6165	0.9880
 168960	253.04	0.0042	0.0013	1.6182	0.9891
